"Date","Price","Open","High","Low","Vol.","Change %"
"22-08-2022","6.8667","6.8347","6.8757","6.8328","","0.47%"
"19-08-2022","6.8346","6.8028","6.8447","6.7982","","0.49%"
"18-08-2022","6.8016","6.7927","6.8142","6.7846","","0.15%"
"17-08-2022","6.7911","6.7920","6.8011","6.7752","","-0.01%"
"16-08-2022","6.7919","6.8165","6.8195","6.7906","","-0.35%"
"15-08-2022","6.8156","6.7371","6.8201","6.7354","","1.18%"
"12-08-2022","6.7362","6.7439","6.7460","6.7298","","-0.11%"
"11-08-2022","6.7436","6.7233","6.7447","6.7213","","0.31%"
"10-08-2022","6.7228","6.7550","6.7654","6.7158","","-0.46%"
"09-08-2022","6.7541","6.7622","6.7657","6.7526","","-0.11%"
"08-08-2022","6.7618","6.7663","6.7715","6.7575","","-0.07%"
"05-08-2022","6.7665","6.7512","6.7694","6.7456","","0.24%"
"04-08-2022","6.7504","6.7625","6.7682","6.7494","","-0.15%"
"03-08-2022","6.7605","6.7783","6.7804","6.7523","","-0.25%"
"02-08-2022","6.7772","6.7843","6.7958","6.7491","","-0.10%"
"01-08-2022","6.7843","6.7509","6.7907","6.7488","","0.50%"
"29-07-2022","6.7503","6.7443","6.7591","6.7284","","0.10%"
"28-07-2022","6.7434","6.7436","6.7561","6.7344","","0.01%"
"27-07-2022","6.7424","6.7678","6.7709","6.7392","","-0.35%"
"26-07-2022","6.7661","6.7518","6.7722","6.7453","","0.22%"
"25-07-2022","6.7510","6.7587","6.7670","6.7435","","-0.09%"
"22-07-2022","6.7571","6.7698","6.7846","6.7474","","-0.18%"
"21-07-2022","6.7690","6.7744","6.7884","6.7614","","-0.08%"
"20-07-2022","6.7741","6.7452","6.7777","6.7367","","0.44%"
"19-07-2022","6.7441","6.7604","6.7624","6.7400","","-0.22%"
"18-07-2022","6.7592","6.7607","6.7652","6.7355","","0.07%"
"15-07-2022","6.7542","6.7610","6.7846","6.7475","","-0.10%"
